

"Host:","joao-MacPro",,,,"User:","joao"
"Cmdline:","dstat -a -v --output report.csv 1 5",,,,"Date:","13 May 2019 14:41:27 WEST"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw","run","blk","new","used","free","buff","cach","in","out","read","writ","int","csw","usr","sys","idl","wai","stl"
3.050,0.927,95.779,0.244,0,1159145.569,7383763.394,0,0,0,0,3864.533,10104.930,1,0,33.460,2077134848,58831167488,457142272,5700861952,0,0,1159145.569,7383763.394,3864.533,10104.930,3.050,0.927,95.779,0.244,0
5.140,2.796,92.064,0,0,0,0,0,0,0,0,8172,13784,2,0,332,2128936960,58779291648,457142272,5700878336,0,0,0,0,8184,13821,5.094,2.794,92.112,0,0
4.643,2.114,93.242,0,0,0,0,0,0,0,0,6979,10593,2,0,207,2110701568,58790518784,457142272,5707681792,0,0,0,0,6968,10564,4.649,2.117,93.234,0,0
0.998,0.707,98.296,0,0,0,0,90,0,0,0,1270,3208,0,0,1,2071429120,58808451072,457142272,5728247808,0,0,0,0,1269,3200,0.996,0.706,98.298,0,0
1.332,1.332,97.337,0,0,0,28925952,0,0,0,0,2926,6271,1,0,5,2039869440,58840010752,457142272,5728239616,0,0,0,28925952,2926,6271,1.332,1.332,97.337,0,0


"Host:","joao-MacPro",,,,"User:","joao"
"Cmdline:","dstat -a -v --output report.csv 1 5",,,,"Date:","13 May 2019 14:56:12 WEST"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw","run","blk","new","used","free","buff","cach","in","out","read","writ","int","csw","usr","sys","idl","wai","stl"
3.664,2.097,93.391,0.848,0,1526187.366,21767604.691,0,0,0,0,5345.165,29481.321,0,1,32.745,1283543040,57994747904,809074688,6585667584,0,0,1526364.484,21767604.691,5345.214,29481.327,3.664,2.097,93.391,0.848,0
4.677,2.028,92.715,0.579,0,6291456,0,0,0,0,0,8472,10544,1,0,184,1330999296,57940258816,811687936,6589063168,0,0,6156288,0,8475,10575,4.679,2.029,92.712,0.580,0
3.650,2.572,93.779,0,0,0,0,0,0,0,0,6580,10427,2,0,220,1330749440,57912922112,811687936,6616432640,0,0,0,0,6565,10494,3.647,2.611,93.742,0,0
6.558,3.592,86.759,3.091,0,167936,39190528,253,622,0,0,12087,27082,6,1,305,1450967040,57791250432,812019712,6616739840,0,0,184320,39268352,12113,27073,6.558,3.634,86.717,3.091,0
12.542,5.565,81.437,0.457,0,126976,1835008,3018,8454,0,0,17076,39181,4,0,520,1506160640,57722437632,812269568,6623846400,0,0,110592,1757184,17039,39090,12.599,5.489,81.455,0.457,0
