"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","joao-MacPro",,,,"User:","joao"
"Cmdline:","dstat -a -v --output ./dstat_8_thread.csv",,,,"Date:","13 May 2019 18:30:03 WEST"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,
19.162,3.816,73.787,3.235,0,0,20762624,864,10224,0,0,11719,29529,5,0,257,6728970240,22786191360,2210996224,32469200896,0,0,0,20762624,11719,29529,19.221,3.811,73.737,3.231,0
32.017,4.075,63.160,0.748,0,0,34803712,704,7631,0,0,9223,35311,15,0,148,6977044480,22447136768,2211004416,32558116864,0,0,0,34803712,9223,35338,32.086,4.073,63.092,0.748,0
37.552,4.921,55.211,2.316,0,0,52846592,2096,5168,0,0,7784,22296,8,0,76,7132487680,22252355584,2211020800,32594296832,0,0,0,52846592,7784,22270,37.484,4.882,55.317,2.317,0
48.243,4.059,47.155,0.544,0,0,7663616,13769,18390,0,0,8020,57746,5,0,41,7293284352,22082043904,2211028992,32601264128,0,0,0,7663616,8019,57763,48.199,4.104,47.152,0.544,0
7.740,1.373,90.845,0.042,0,16384,311296,896,3199,0,0,3126,25217,1,0,22,7285784576,22075658240,2211033088,32614318080,0,0,16384,311296,3126,25185,7.744,1.332,90.883,0.042,0
4.404,1.371,93.519,0.706,0,0,23945216,752,1451,0,0,2914,3956,4,0,30,7310274560,22044852224,2211041280,32620445696,0,0,0,23945216,2917,4007,4.357,1.411,93.527,0.705,0
4.861,1.703,93.311,0.125,0,4489216,135168,826,2103,0,0,2996,4613,1,0,44,7138054144,22216769536,2211041280,32620453888,0,0,4489216,135168,2993,4562,4.908,1.664,93.303,0.125,0
4.938,1.452,93.527,0.083,0,0,1257472,2000,2879,0,0,2787,4220,0,1,21,7194046464,22160637952,2211045376,32620589056,0,0,0,1261568,2790,4226,4.890,1.492,93.535,0.083,0
0.835,1.294,97.871,0,0,0,20480,62311,109002,0,0,2193,4324,1,0,31,7199944704,22154539008,2211045376,32620683264,0,0,0,16384,2190,4318,0.836,1.296,97.868,0,0
0.292,0.292,99.416,0,0,0,0,34138,59106,0,0,1564,2403,0,0,6,7199469568,22154928128,2211045376,32620736512,0,0,0,0,1567,2407,0.333,0.250,99.417,0,0
0.708,1.291,98.002,0,0,0,0,76544,132970,0,0,2024,3031,0,0,11,7200448512,22153887744,2211045376,32620797952,0,0,0,0,2022,3027,0.666,1.291,98.042,0,0
0.292,1.252,98.456,0,0,0,0,43583,77036,0,0,1639,2602,0,0,11,7200784384,22153519104,2211045376,32620830720,0,0,0,0,1639,2602,0.292,1.252,98.456,0,0
0.542,1.544,97.914,0,0,0,0,47789,81597,0,0,2534,3513,1,0,21,7197962240,22156800000,2211045376,32620867584,0,0,0,0,2534,3513,0.542,1.544,97.914,0,0
0.584,0.876,98.539,0,0,0,106496,97149,173695,0,0,1862,3037,1,0,11,7196680192,22158082048,2211045376,32620900352,0,0,0,106496,1861,3037,0.585,0.878,98.537,0,0
0.501,0.501,98.999,0,0,0,0,88987,158442,0,0,1888,3006,0,0,6,7198187520,22156361728,2211045376,32621113344,0,0,0,0,1889,3010,0.500,0.500,99.000,0,0
0.376,1.420,98.205,0,0,0,0,96195,175329,0,0,2024,3041,0,0,11,7198298112,22156132352,2211045376,32621232128,0,0,0,0,2023,3037,0.417,1.418,98.164,0,0
0.458,1.292,98.250,0,0,0,16384,24416,40547,0,0,1670,2506,0,0,11,7198863360,22155522048,2211045376,32621260800,0,0,0,16384,1670,2506,0.458,1.292,98.250,0,0
0.375,1.208,98.417,0,0,0,0,27869,48035,0,0,1601,2324,0,0,11,7199412224,22154948608,2211045376,32621285376,0,0,0,0,1601,2324,0.375,1.208,98.417,0,0
3.792,1.375,94.750,0.083,0,0,2322432,17616,31510,0,0,3050,7426,2,0,31,7137361920,22217818112,2211049472,32620462080,0,0,0,2322432,3050,7426,3.796,1.418,94.702,0.083,0
4.950,1.123,93.927,0,0,0,4096,698,1952,0,0,2232,2871,1,0,10,7173398528,22181466112,2211049472,32620695552,0,0,0,4096,2232,2871,4.904,1.081,94.015,0,0
2,1.625,96.250,0.125,0,0,1757184,624,1253,0,0,2587,3604,1,0,29,7156469760,22198337536,2211053568,32620699648,0,0,0,1757184,2587,3604,2.041,1.624,96.210,0.125,0
0.541,1.458,98.001,0,0,0,0,624,1253,0,0,1810,2898,0,0,19,7157858304,22196928512,2211053568,32620720128,0,0,0,0,1810,2898,0.500,1.458,98.042,0,0
0.292,1.416,98.292,0,0,0,0,1872,2249,0,0,1537,2282,0,0,14,7158714368,22196051968,2211053568,32620724224,0,0,0,0,1538,2284,0.333,1.415,98.251,0,0
0.250,0.083,99.666,0,0,0,12288,624,1001,0,0,1258,1941,1,0,12,7158063104,22196703232,2211053568,32620724224,0,0,0,12288,1257,1942,0.250,0.083,99.666,0,0
0.375,1.250,98.375,0,0,0,12288,624,876,0,0,1469,2275,0,0,9,7159308288,22195458048,2211053568,32620724224,0,0,0,12288,1469,2272,0.333,1.251,98.416,0,0
0.209,1.294,98.497,0,0,0,110592,624,1184,0,0,1521,2242,1,0,13,7159119872,22195646464,2211053568,32620724224,0,0,0,110592,1522,2261,0.251,1.294,98.455,0,0
0.333,1.167,98.500,0,0,0,12288,624,749,0,0,1545,2242,0,0,13,7158902784,22195847168,2211053568,32620724224,0,0,0,12288,1544,2223,0.292,1.166,98.542,0,0
0.167,1.252,98.581,0,0,0,0,1872,1872,0,0,1405,2144,1,0,13,7159812096,22194937856,2211053568,32620724224,0,0,0,0,1408,2150,0.209,1.252,98.540,0,0
0.250,0.458,99.292,0,0,0,16384,893,1593,0,0,1419,2195,0,0,12,7155892224,22198857728,2211053568,32620724224,0,0,0,16384,1416,2189,0.208,0.458,99.333,0,0
0.209,1.335,98.456,0,0,0,0,624,694,0,0,1747,2387,0,0,13,7156600832,22198149120,2211053568,32620724224,0,0,0,0,1747,2387,0.209,1.335,98.456,0,0
0.292,1.293,98.415,0,0,0,81920,624,1374,0,0,1590,2349,0,0,13,7155466240,22199283712,2211053568,32620724224,0,0,0,81920,1592,2353,0.292,1.293,98.415,0,0
0.208,1.251,98.541,0,0,0,3444736,624,1069,0,0,1897,2056,0,0,13,7154782208,22199967744,2211053568,32620724224,0,0,0,3444736,1895,2052,0.250,1.250,98.500,0,0
0.209,0.960,98.832,0,0,0,0,1872,2249,0,0,1570,2372,1,0,13,7155634176,22199115776,2211053568,32620724224,0,0,0,0,1570,2372,0.209,1.001,98.790,0,0
0.375,0.584,98.999,0.042,0,0,679936,624,1001,0,0,1487,2455,0,0,8,7155478528,22199214080,2211057664,32620728320,0,0,0,679936,1487,2455,0.334,0.543,99.082,0.042,0
0.457,1.206,98.337,0,0,0,12288,624,876,0,0,1634,2148,0,0,13,7154925568,22199767040,2211057664,32620728320,0,0,0,12288,1634,2148,0.458,1.206,98.336,0,0
4.839,1.737,93.135,0.289,0,0,720896,13888,14392,0,0,3074,5881,1,0,53,7207694336,22146572288,2211078144,32620789760,0,0,0,720896,3074,5881,4.843,1.738,93.129,0.290,0
4.859,1.827,93.231,0.083,0,16384,5844992,12736,13240,0,0,2523,3699,1,0,14,7251660800,22100631552,2211082240,32620793856,0,0,16384,5844992,2523,3699,4.861,1.828,93.228,0.083,0
1.868,0.872,95.932,1.328,0,1093632,14667776,79451,79955,0,0,3170,5198,3,0,18,7260930048,22090825728,2211139584,32621084672,0,0,1093632,14667776,3171,5200,1.908,0.912,95.852,1.327,0
5.285,1.540,93.050,0.125,0,0,397312,175675,175927,0,0,3584,10724,1,0,10,7296290816,22055534592,2211151872,32620945408,0,0,0,397312,3584,10724,5.281,1.497,93.098,0.125,0
4.948,1.663,93.389,0,0,0,0,201153,201405,0,0,3044,8616,3,0,13,7360118784,21991698432,2211151872,32620953600,0,0,0,0,3043,8633,4.915,1.666,93.419,0,0
3.453,1.539,95.008,0,0,0,0,127691,127943,0,0,2893,8879,0,0,13,7388753920,21963055104,2211151872,32620961792,0,0,0,0,2894,8864,3.448,1.537,95.015,0,0
3.090,1.670,95.240,0,0,0,4096,123335,123335,0,0,2920,9076,1,0,13,7419990016,21931814912,2211151872,32620965888,0,0,0,4096,2919,9077,3.092,1.672,95.236,0,0
2.879,0.960,96.162,0,0,0,0,128325,128242,0,0,2691,8743,1,0,13,7451406336,21900390400,2211151872,32620974080,0,0,0,0,2691,8738,2.879,1.001,96.120,0,0
3.037,1.581,95.383,0,0,0,118784,135575,135658,0,0,3176,9191,1,0,8,7481884672,21869907968,2211151872,32620978176,0,0,0,118784,3177,9208,3.073,1.537,95.390,0,0
3.286,1.830,94.884,0,0,0,12288,149195,149195,0,0,3280,9864,1,0,14,7514755072,21837037568,2211151872,32620978176,0,0,0,12288,3280,9873,3.286,1.830,94.884,0,0
4.305,1.490,94.205,0,0,0,0,146224,146224,0,0,3382,11002,0,0,13,7541260288,21810528256,2211151872,32620982272,0,0,0,0,3384,10991,4.265,1.532,94.203,0,0
4.319,2.201,93.272,0.208,0,0,5296128,312793,312793,0,0,5927,16565,4,1,79,7130345472,22221307904,2211151872,32621047808,0,0,0,5296128,5926,16610,4.324,2.204,93.264,0.208,0
4.043,1.709,93.997,0.250,0,0,2347008,1872,1942,0,0,6062,24199,2,0,60,7132745728,22161096704,2211172352,32678854656,0,0,0,2347008,6062,24177,4.077,1.705,93.968,0.250,0
4.106,2.779,92.908,0.207,0,0,1024000,0,0,0,0,5631,23691,1,0,63,7132712960,22104621056,2211180544,32735354880,0,0,0,1024000,5632,23699,4.068,2.740,92.985,0.208,0
5.116,2.662,92.221,0,0,0,0,624,624,0,0,4513,29784,1,0,13,7133261824,21986390016,2211180544,32853037056,0,0,0,0,4513,29768,5.158,2.662,92.180,0,0
4.806,2.674,92.520,0,0,0,0,624,624,0,0,4468,28801,1,0,13,7132872704,21816496128,2211180544,33023320064,0,0,0,0,4465,28795,4.804,2.673,92.523,0,0
5.250,2.083,92.042,0.625,0,0,49086464,752,624,0,0,4688,27647,4,1,13,7130361856,21653889024,2211184640,33188433920,0,0,0,49807360,4693,27650,5.257,2.128,91.990,0.626,0
3.940,1.742,93.198,1.120,0,15400960,96608256,1872,1872,0,0,6459,23308,3,0,67,7132934144,21579345920,2211201024,33260388352,0,0,15400960,95887360,6455,23295,3.980,1.700,93.201,1.119,0
3.415,2.457,93.669,0.458,0,4521984,1720320,64,70,0,0,6715,13979,1,0,91,7105712128,21562822656,2211205120,33304129536,0,0,4521984,1720320,6714,13965,3.331,2.498,93.714,0.458,0
1.083,1.249,97.668,0,0,0,0,624,624,0,0,2139,3076,0,0,21,7111507968,21557026816,2211205120,33304129536,0,0,0,0,2139,3076,1.083,1.208,97.708,0,0
0.375,1.293,98.331,0,0,0,0,688,694,0,0,1582,2322,0,0,13,7112912896,21555621888,2211205120,33304129536,0,0,0,0,1582,2322,0.417,1.292,98.291,0,0
0.334,0.584,99.082,0,0,0,12288,624,624,0,0,1331,2206,1,0,13,7113146368,21555294208,2211205120,33304133632,0,0,0,12288,1331,2206,0.293,0.627,99.081,0,0
0.334,0.917,96.163,2.585,0,0,203436032,1872,2362,0,0,2249,1942,0,0,8,7113314304,21555101696,2211213312,33304150016,0,0,0,204124160,2251,1946,0.333,0.875,96.208,2.583,0
0.292,1.336,98.289,0.083,0,0,42356736,0,0,0,0,1932,2619,0,0,13,7112593408,21555822592,2211213312,33304150016,0,0,0,41668608,1933,2620,0.292,1.336,98.289,0.083,0
0.334,1.251,98.415,0,0,0,0,688,624,0,0,1559,2271,0,0,13,7112986624,21555429376,2211213312,33304150016,0,0,0,0,1556,2266,0.334,1.294,98.372,0,0
0.292,1.375,98.333,0,0,0,0,624,1254,0,0,1648,2188,0,0,13,7111852032,21556563968,2211213312,33304150016,0,0,0,0,1648,2188,0.333,1.332,98.335,0,0
1.792,0.458,97.750,0,0,0,0,624,694,0,0,1605,2823,1,0,21,7113396224,21555019776,2211213312,33304150016,0,0,0,0,1605,2823,1.753,0.459,97.788,0,0
0.333,1,98.292,0.375,0,0,651264,1872,2622,0,0,1637,2552,0,0,8,7113383936,21554745344,2211225600,33304350720,0,0,0,651264,1637,2552,0.333,0.999,98.294,0.375,0
0.458,1.373,98.169,0,0,0,16384,0,375,0,0,1637,2226,0,0,13,7114063872,21554065408,2211225600,33304350720,0,0,0,16384,1637,2226,0.499,1.373,98.128,0,0
3.015,2.230,92.524,2.230,0,0,61849600,18446744073708525568,18446744073708953600,0,0,5791,9270,0,2,59,7108743168,21565788160,2211229696,33304293376,0,0,0,61849600,5791,9270,2.979,2.234,92.511,2.276,0
5.828,2.498,91.257,0.416,0,0,10461184,18446744073709514752,18446744073709279232,0,0,11891,22029,5,0,138,6478073856,22198829056,2211237888,33304117248,0,0,0,10461184,11893,22069,5.855,2.533,91.238,0.374,0
1.632,1.339,96.695,0.335,0,16384,2920448,18446744073709012992,18446744073708296192,0,0,5330,8962,0,0,44,6462865408,22218174464,2211246080,33304031232,0,0,16384,2920448,5329,8924,1.633,1.298,96.734,0.335,0
4.033,3.077,92.474,0.416,0,0,2969600,18446744073709453312,18446744073708984320,0,0,7341,14261,1,0,137,6351908864,22789971968,2211250176,32850210816,0,0,0,2969600,7341,14261,4.037,3.121,92.426,0.416,0
4.821,3.090,92.089,0,0,0,16384,0,0,0,0,10439,16456,1,0,352,6357032960,22757675008,2211250176,32877359104,0,0,0,16384,10438,16454,4.784,3.052,92.165,0,0
5.095,2.983,90.182,1.740,0,0,34267136,848,848,0,0,6625,13337,1,3,83,6373089280,22741114880,2211254272,32877821952,0,0,0,34267136,6626,13344,5.087,3.019,90.116,1.778,0
13.716,6.983,77.722,1.579,0,0,5750784,704,2103,0,0,21738,53146,3,2,677,6527909888,22565351424,2211254272,32896712704,0,0,0,6471680,21740,53195,13.805,6.985,77.672,1.538,0
16.798,3.701,72.848,6.653,0,7716864,115953664,864,15572,0,0,9990,44039,8,1,132,6738333696,22162251776,2211282944,33085140992,0,0,7716864,115232768,10021,44122,16.798,3.742,72.807,6.653,0
20.256,4.043,73.102,2.599,0,0,102395904,2032,10762,0,0,11517,30561,6,2,197,6838132736,22083211264,2211340288,33063149568,0,0,0,102408192,11483,30441,20.297,3.960,73.144,2.599,0
31.255,3.117,65.295,0.333,0,0,2355200,160,3505,0,0,6784,28064,6,0,99,7048384512,21868965888,2211352576,33063907328,0,0,0,2342912,6786,28064,31.242,3.116,65.310,0.332,0
38.388,2.576,58.455,0.582,0,0,262144,13769,19379,0,0,6974,24222,11,0,72,7224287232,21690974208,2211356672,33063960576,0,0,0,262144,6976,24265,38.388,2.617,58.413,0.582,0
32.413,1.422,66.165,0,0,0,0,14586,16123,0,0,5430,12863,2,0,20,7261757440,21651480576,2211356672,33064050688,0,0,0,0,5426,12803,32.370,1.424,66.206,0,0
6.061,1.162,92.777,0,0,0,24576,64774,66723,0,0,2869,8000,2,0,7,7299870720,21612511232,2211356672,33064062976,0,0,0,24576,2869,8001,6.061,1.121,92.819,0,0
6.131,1.698,92.171,0,0,0,0,232831,233540,0,0,3588,8158,1,0,18,7378415616,21533917184,2211356672,33064058880,0,0,0,0,3590,8164,6.092,1.699,92.209,0,0
3.713,1.877,94.410,0,0,0,16384,138762,140140,0,0,3274,10075,0,0,13,7410982912,21501300736,2211356672,33064058880,0,0,0,16384,3274,10079,3.750,1.875,94.375,0,0
3.243,1.622,95.094,0.042,0,0,221184,126483,127253,0,0,2926,8999,0,0,13,7442034688,21470248960,2211356672,33064058880,0,0,0,221184,2925,8988,3.243,1.663,95.052,0.042,0
3.249,1.041,95.668,0.042,0,0,507904,135601,136704,0,0,3036,9919,4,0,13,7473233920,21439045632,2211360768,33064058880,0,0,0,507904,3035,9931,3.208,1,95.750,0.042,0
2.797,1.461,95.741,0,0,0,0,143073,143577,0,0,3087,9654,1,0,8,7506153472,21406109696,2211360768,33064058880,0,0,0,0,3089,9649,2.838,1.461,95.701,0,0
3.254,1.502,95.244,0,0,0,0,137848,138352,0,0,3224,10025,1,0,13,7537770496,21374492672,2211360768,33064058880,0,0,0,0,3222,10017,3.218,1.504,95.278,0,0
3.172,1.753,95.075,0,0,0,16384,136664,137588,0,0,3136,9353,1,0,13,7558610944,21353652224,2211360768,33064058880,0,0,0,16384,3136,9356,3.171,1.794,95.035,0,0
4.113,2.119,93.727,0.042,0,0,344064,344859,346273,0,0,4838,12954,3,0,73,7134785536,21777477632,2211364864,33064054784,0,0,0,344064,4897,13019,4.104,2.114,93.740,0.041,0
4.085,1.459,94.248,0.208,0,0,937984,1248,1500,0,0,6167,26947,3,0,64,7137398784,21708378112,2211364864,33130536960,0,0,0,937984,6109,26905,4.123,1.458,94.211,0.208,0
4.950,2.329,92.554,0.166,0,0,884736,624,1946,0,0,6542,30165,1,0,61,7138750464,21635706880,2211381248,33201823744,0,0,0,884736,6543,30178,4.923,2.336,92.574,0.167,0
4.587,3.044,92.369,0,0,0,0,1872,2374,0,0,5294,37202,1,0,13,7140057088,21462876160,2211381248,33373347840,0,0,0,0,5295,37186,4.627,3.001,92.372,0,0
4.477,2.845,92.678,0,0,0,16384,0,377,0,0,5250,30493,1,0,25,7133425664,21297631232,2211381248,33545719808,0,0,0,16384,5249,30490,4.479,2.846,92.675,0,0
4.090,2.546,93.155,0.209,0,0,868352,0,252,0,0,5070,23822,2,0,47,7126818816,21189406720,2211401728,33660678144,0,0,0,868352,5076,23862,4.087,2.585,93.119,0.209,0
3.617,1.580,94.428,0.374,0,0,1449984,1248,1500,0,0,6278,20161,3,0,76,7111897088,21168291840,2211426304,33696690176,0,0,0,1449984,6279,20133,3.616,1.538,94.472,0.374,0
2.583,1.625,95.750,0.042,0,0,114688,624,1128,0,0,3110,4824,0,0,47,7096291328,21156319232,2211426304,33724186624,0,0,0,114688,3101,4791,2.582,1.624,95.752,0.042,0
0.500,1.293,98.207,0,0,0,0,1872,2376,0,0,1596,2388,0,0,13,7097204736,21155405824,2211426304,33724186624,0,0,0,0,1596,2388,0.459,1.293,98.248,0,0
0.292,1.461,98.246,0,0,0,819200,0,504,0,0,1597,2233,1,0,13,7097802752,21154803712,2211426304,33724190720,0,0,0,819200,1597,2233,0.334,1.461,98.205,0,0
0.292,0.834,98.874,0,0,0,0,0,252,0,0,1489,2287,1,0,13,7097593856,21155012608,2211426304,33724190720,0,0,0,0,1489,2287,0.251,0.836,98.913,0,0
0.209,0.835,98.957,0,0,0,0,1248,1500,0,0,1502,2237,0,0,8,7096860672,21155745792,2211426304,33724190720,0,0,0,0,1502,2237,0.250,0.833,98.917,0,0
0.208,1.209,98.583,0,0,0,16384,624,1016,0,0,1535,2101,0,0,13,7096307712,21156294656,2211426304,33724194816,0,0,0,16384,1535,2101,0.167,1.210,98.623,0,0
0.292,1.294,98.414,0,0,0,0,1872,1872,0,0,1708,2321,0,0,13,7097237504,21155364864,2211426304,33724194816,0,0,0,0,1708,2321,0.292,1.293,98.415,0,0
0.500,1.291,98.209,0,0,0,151552,0,0,0,0,1624,2354,0,0,13,7097421824,21155098624,2211426304,33724194816,0,0,0,151552,1624,2354,0.500,1.291,98.209,0,0
0.417,0.458,99.125,0,0,0,0,0,140,0,0,1328,2014,1,0,13,7096528896,21155991552,2211426304,33724194816,0,0,0,0,1328,2014,0.459,0.459,99.082,0,0
0.418,0.877,98.706,0,0,0,0,1248,2298,0,0,1810,2623,0,0,12,7094108160,21158412288,2211426304,33724194816,0,0,0,0,1810,2623,0.375,0.876,98.749,0,0
2.160,2.119,95.638,0.083,0,0,126976,18446744073708607488,18446744073709008896,0,0,4651,8365,6,0,60,7085981696,21167067136,2211426304,33724137472,0,0,0,126976,4672,8406,2.162,2.121,95.634,0.083,0
0.584,1.586,94.157,3.673,0,0,215281664,1872,2887,0,0,3245,2412,0,1,13,7085895680,21172686848,2211430400,33724137472,0,0,0,215969792,3226,2371,0.584,1.584,94.123,3.710,0
1.003,1.504,92.018,5.474,0,0,239022080,80,582,0,0,4009,6806,6,0,50,7086813184,21171765248,2211434496,33724137472,0,0,0,238333952,4009,6832,1.088,1.506,91.967,5.439,0
4.674,2.254,92.404,0.668,0,16384,5341184,18446744073709529088,18446744073709289472,0,0,10810,20571,1,0,114,6452125696,21808992256,2211467264,33724116992,0,0,16384,5341184,10808,20545,4.591,2.295,92.446,0.668,0
1.250,1.750,96.875,0.125,0,0,1503232,18446744073709041664,18446744073708845056,0,0,3948,6267,0,0,27,6445694976,21818023936,2211471360,33723957248,0,0,0,1503232,3949,6269,1.249,1.707,96.919,0.125,0
0.417,1.334,98.249,0,0,0,36864,704,1292,0,0,1540,2300,0,0,11,6362030080,21901656064,2211471360,33723957248,0,0,0,36864,1539,2298,0.417,1.334,98.249,0,0
4.032,3.533,92.145,0.291,0,0,2818048,637,18446744073709535232,0,0,9867,17362,1,0,245,6345711616,22371606528,2211500032,33273307136,0,0,0,2818048,9867,17362,4.038,3.539,92.132,0.291,0
4.270,2.695,93.035,0,0,0,16384,80,584,0,0,9209,12704,2,0,265,6357278720,22332473344,2211500032,33300676608,0,0,0,16384,9212,12706,4.270,2.695,93.035,0,0
8.835,4.023,83.617,3.526,0,0,36802560,160,928,0,0,13334,28654,2,2,299,6492905472,22196191232,2211532800,33300951040,0,0,0,36802560,13350,28743,8.827,4.061,83.589,3.523,0
12.464,5.673,80.787,1.077,0,4210688,32063488,1328,6714,0,0,16300,44656,7,1,468,6599970816,22055370752,2211545088,33331208192,0,0,4210688,32067584,16283,44591,12.531,5.666,80.728,1.075,0
14.707,3.116,79.061,3.116,0,3506176,75476992,784,9876,0,0,8890,22501,5,0,91,6726602752,21854756864,2211561472,33403031552,0,0,3506176,75472896,8898,22507,14.755,3.117,79.011,3.117,0
22.590,4.013,71.452,1.945,0,0,112300032,1952,9493,0,0,11778,28501,5,1,216,6848438272,21648285696,2211581952,33486622720,0,0,0,112300032,11768,28483,22.558,3.974,71.482,1.987,0
30.610,3.194,65.367,0.830,0,0,3518464,160,4406,0,0,6723,25278,9,0,75,7029309440,21463441408,2211606528,33487253504,0,0,0,3518464,6723,25290,30.626,3.232,65.354,0.787,0
37.156,2.043,60.676,0.125,0,0,274432,14339,19110,0,0,7052,24662,8,0,31,7174684672,21315952640,2211614720,33487323136,0,0,0,274432,7053,24658,37.213,2.003,60.659,0.125,0
24.099,1.781,74.120,0,0,0,0,13111,14653,0,0,5054,12067,4,0,73,7210221568,21279539200,2211614720,33487396864,0,0,0,0,5053,12050,23.954,1.823,74.223,0,0
4.865,1.455,93.680,0,0,0,16384,1325,2779,0,0,2338,3377,1,0,16,7255470080,21232877568,2211614720,33487400960,0,0,0,16384,2338,3372,4.867,1.414,93.719,0,0
4.913,2.040,92.839,0.208,0,0,1269760,27745,29549,0,0,7408,13947,1,0,110,7102042112,21385367552,2211635200,33487634432,0,0,0,1269760,7408,13947,4.904,2.078,92.810,0.208,0
4.007,2.295,93.489,0.209,0,0,696320,0,502,0,0,4807,26158,3,0,36,7094906880,21321474048,2211635200,33558663168,0,0,0,696320,4826,26196,4.007,2.295,93.489,0.209,0
4.572,2.161,93.184,0.083,0,0,225280,0,698,0,0,5634,29603,1,0,58,7117217792,21215346688,2211639296,33642475520,0,0,0,225280,5616,29588,4.617,2.121,93.178,0.083,0
4.587,3.086,92.327,0,0,0,0,1455,2196,0,0,4784,33310,1,0,13,7100166144,21055295488,2211639296,33819578368,0,0,0,0,4783,33313,4.540,3.124,92.337,0,0
5.044,2.835,92.122,0,0,0,0,624,1128,0,0,4699,30160,1,0,13,7099760640,20873236480,2211639296,34002026496,0,0,0,0,4699,30158,5.088,2.794,92.118,0,0
4.043,2.459,93.331,0.167,0,0,884736,1872,2796,0,0,6452,23070,2,0,68,7101366272,20779204608,2211655680,34094436352,0,0,0,884736,6456,23081,4.043,2.459,93.331,0.167,0
3.753,1.793,93.953,0.500,0,0,1646592,0,574,0,0,6412,16485,2,0,91,7064440832,20762816512,2211676160,34147729408,0,0,0,1646592,6408,16450,3.758,1.837,93.904,0.501,0
1.583,1.208,97.209,0,0,0,0,0,1274,0,0,2737,3735,1,0,26,7070781440,20757213184,2211676160,34147725312,0,0,0,0,2737,3735,1.540,1.166,97.294,0,0
0.251,1.127,98.622,0,0,0,0,1248,2320,0,0,1676,2237,2,0,13,7070367744,20757626880,2211676160,34147725312,0,0,0,0,1676,2239,0.251,1.128,98.621,0,0
0.500,1.292,98.166,0.042,0,0,790528,624,1126,0,0,1909,2753,0,0,13,7070912512,20757032960,2211676160,34147725312,0,0,0,790528,1909,2751,0.500,1.291,98.168,0.042,0
